unit,src_nfr,airpol,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,SE1_RD_NRD,NMVOC,AT	317.9 	303.2 	261.4 	225.7 	198.3 	174.4 	153.5 	133.7 	126.8 	110.0 	100.0 	94.2 	92.7 	89.4 	84.2 	79.1 	67.4 	62.1 	55.1 	50.3 	48.0 	44.2 	41.2 	39.0 	36.8 	35.7 	33.5 	32.2 
PC,SE1_RD_NRD,NMVOC,BE	252.7 	230.9 	221.9 	204.0 	191.8 	182.9 	167.6 	146.4 	133.7 	118.6 	100.0 	91.9 	79.9 	77.5 	68.1 	59.6 	54.5 	48.4 	42.3 	38.5 	35.5 	32.0 	28.5 	24.8 	24.3 	24.1 	23.6 	22.6 
PC,SE1_RD_NRD,NMVOC,BG	214.8 	107.1 	129.7 	146.9 	142.5 	150.4 	128.3 	90.3 	110.8 	106.6 	100.0 	89.8 	91.4 	90.3 	71.6 	69.3 	66.6 	58.4 	56.6 	55.4 	49.0 	46.6 	46.1 	40.6 	40.9 	41.6 	38.0 	32.8 
PC,SE1_RD_NRD,NMVOC,CY	134.7 	132.0 	129.3 	124.4 	126.7 	123.8 	121.0 	116.9 	110.7 	105.9 	100.0 	97.4 	91.8 	94.2 	89.6 	86.6 	78.4 	79.6 	75.1 	68.6 	65.2 	60.7 	56.1 	51.7 	50.0 	48.5 	49.6 	48.2 
PC,SE1_RD_NRD,NMVOC,CZ	116.3 	108.8 	132.1 	120.8 	131.0 	128.5 	133.7 	118.7 	110.5 	105.0 	100.0 	89.4 	84.7 	85.6 	78.5 	73.3 	69.0 	63.8 	60.6 	59.8 	53.0 	49.6 	44.1 	37.6 	34.1 	29.8 	26.3 	26.1 
PC,SE1_RD_NRD,NMVOC,DE	398.1 	308.0 	282.4 	246.5 	195.4 	182.3 	165.6 	147.8 	133.4 	117.3 	100.0 	90.7 	81.9 	72.9 	67.4 	60.2 	58.6 	52.5 	46.2 	43.0 	40.0 	38.7 	36.1 	35.2 	34.8 	32.9 	32.7 	32.6 
PC,SE1_RD_NRD,NMVOC,DK	157.4 	163.8 	161.8 	160.0 	152.9 	146.3 	141.5 	130.7 	122.2 	109.5 	100.0 	93.3 	85.3 	79.7 	70.0 	64.6 	57.3 	51.4 	46.0 	40.4 	38.0 	31.4 	28.1 	25.5 	22.5 	21.4 	19.8 	18.8 
PC,SE1_RD_NRD,NMVOC,EE	171.2 	164.7 	86.0 	89.1 	113.3 	105.3 	111.0 	118.3 	110.2 	101.9 	100.0 	91.4 	79.0 	64.0 	55.0 	53.2 	52.2 	48.8 	40.6 	35.5 	32.6 	27.1 	26.2 	22.8 	18.1 	17.8 	17.5 	15.4 
PC,SE1_RD_NRD,NMVOC,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SE1_RD_NRD,NMVOC,ES	159.3 	167.1 	178.2 	165.2 	164.9 	148.9 	148.1 	137.1 	133.4 	118.2 	100.0 	89.1 	75.4 	69.1 	59.2 	52.6 	44.4 	39.1 	31.6 	26.8 	23.7 	19.5 	17.5 	13.8 	13.1 	12.4 	13.0 	12.3 
PC,SE1_RD_NRD,NMVOC,EU27_2020	191.9 	179.1 	176.8 	167.2 	155.8 	148.6 	142.1 	132.6 	124.5 	115.1 	100.0 	91.8 	83.3 	76.7 	68.7 	63.9 	57.5 	50.9 	45.7 	41.7 	37.7 	34.1 	31.2 	28.9 	27.3 	25.7 	25.0 	24.4 
PC,SE1_RD_NRD,NMVOC,EU28	196.8 	185.9 	183.2 	173.5 	160.7 	152.0 	145.9 	135.0 	125.6 	115.5 	100.0 	91.4 	82.4 	75.0 	66.8 	61.6 	55.0 	48.6 	43.6 	38.6 	34.8 	31.4 	28.6 	26.4 	24.9 	23.5 	22.8 	22.2 
PC,SE1_RD_NRD,NMVOC,FI	144.5 	142.7 	139.7 	134.6 	130.6 	127.0 	123.9 	120.5 	115.5 	109.9 	100.0 	95.1 	88.1 	77.7 	69.4 	62.3 	56.0 	49.9 	38.4 	33.6 	30.4 	26.1 	22.7 	21.0 	19.9 	18.3 	16.2 	14.7 
PC,SE1_RD_NRD,NMVOC,FR	203.1 	198.9 	196.5 	185.5 	168.8 	154.9 	141.2 	132.1 	122.8 	115.2 	100.0 	92.0 	82.1 	72.7 	64.6 	55.8 	47.5 	41.1 	34.6 	30.1 	26.7 	23.4 	21.2 	19.5 	17.9 	16.8 	15.7 	15.2 
PC,SE1_RD_NRD,NMVOC,HR	121.9 	95.6 	89.5 	80.0 	86.7 	90.8 	98.8 	104.0 	104.2 	104.5 	100.0 	88.2 	82.1 	78.8 	71.8 	66.1 	59.0 	54.3 	49.5 	45.1 	39.2 	35.5 	27.5 	25.9 	23.5 	22.8 	21.7 	20.5 
PC,SE1_RD_NRD,NMVOC,HU	189.1 	154.7 	145.4 	136.4 	127.9 	125.0 	116.4 	110.7 	107.8 	103.7 	100.0 	97.3 	92.6 	87.8 	75.9 	67.6 	55.8 	51.2 	47.7 	43.2 	38.2 	33.3 	32.5 	29.5 	28.0 	24.0 	22.7 	21.3 
PC,SE1_RD_NRD,NMVOC,IE	143.9 	145.5 	147.4 	139.1 	135.4 	134.5 	132.8 	122.6 	122.0 	114.8 	100.0 	94.2 	83.6 	75.9 	70.4 	68.7 	62.8 	57.3 	53.2 	46.5 	40.7 	36.9 	33.3 	31.1 	29.4 	27.4 	25.1 	21.2 
PC,SE1_RD_NRD,NMVOC,IT	130.6 	137.2 	146.4 	149.5 	145.4 	144.4 	141.5 	135.4 	127.0 	118.1 	100.0 	92.9 	85.1 	78.8 	69.1 	64.5 	56.2 	46.4 	42.7 	38.2 	34.3 	31.8 	27.1 	25.5 	24.7 	23.7 	22.1 	20.4 
PC,SE1_RD_NRD,NMVOC,LT	239.7 	313.3 	189.7 	150.6 	120.8 	168.0 	176.3 	192.4 	176.1 	151.3 	100.0 	98.3 	95.6 	96.2 	100.2 	106.0 	94.4 	83.7 	79.6 	75.0 	72.7 	53.8 	61.8 	41.2 	41.1 	32.7 	37.6 	33.9 
PC,SE1_RD_NRD,NMVOC,LU	310.5 	332.4 	299.9 	249.7 	212.3 	169.7 	148.8 	133.7 	117.0 	106.3 	100.0 	90.4 	81.6 	78.1 	75.9 	67.7 	57.0 	50.2 	44.4 	38.0 	34.2 	32.9 	29.1 	25.4 	23.8 	21.4 	19.8 	19.3 
PC,SE1_RD_NRD,NMVOC,LV	194.7 	183.2 	180.3 	167.7 	158.7 	142.8 	138.8 	123.3 	112.5 	104.6 	100.0 	105.4 	96.2 	89.9 	81.2 	71.3 	65.2 	55.6 	43.1 	36.2 	34.2 	31.6 	31.6 	29.8 	28.3 	26.1 	23.7 	21.9 
PC,SE1_RD_NRD,NMVOC,MT	42.8 	43.3 	44.6 	45.0 	46.1 	46.7 	51.7 	56.3 	48.7 	49.5 	100.0 	94.6 	87.5 	78.9 	68.9 	132.2 	127.4 	126.7 	140.2 	117.2 	111.6 	103.1 	77.8 	74.0 	73.8 	73.2 	68.7 	69.3 
PC,SE1_RD_NRD,NMVOC,NL	270.4 	233.7 	216.4 	203.3 	185.5 	174.9 	165.4 	147.7 	134.2 	120.0 	100.0 	90.3 	81.8 	74.5 	66.2 	61.8 	59.6 	59.0 	58.0 	54.6 	52.2 	50.6 	47.1 	44.7 	41.4 	40.4 	39.1 	40.0 
PC,SE1_RD_NRD,NMVOC,PL	92.3 	103.6 	105.4 	103.2 	109.1 	110.2 	114.9 	115.3 	110.7 	113.9 	100.0 	84.7 	77.3 	75.8 	72.0 	71.4 	73.7 	71.8 	69.1 	69.7 	63.1 	57.6 	59.4 	56.4 	49.6 	46.4 	49.4 	55.0 
